#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
244476	3320	367	109552	106862	-	RP11-383C12.1	HSP90AA1	AR	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	Affinity Capture-Western	physical	Veldscholte J (1992)	PUBMED:1540595	9606	9606	Low Throughput	-	-	Incubation of the cells at 37 degrees C with androgen (R1881, 10 nM) or the anti-androgen hydroxyflutamide, prior to receptor isolation, resulted in dissociation of the AR-heat-shock protein complex	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P10275	F1D8N5	NP_001011645|NP_000035	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245674	2175	3320	108472	109552	-	-	FANCA	HSP90AA1	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Two-hybrid	physical	Reuter TY (2003)	PUBMED:14499622	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15360	Q86U55	NP_000126|NP_001018122|NP_001273096	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
245675	2176	3320	108473	109552	RP11-80I15.2	-	FANCC	HSP90AA1	FA3|FAC|FACC	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Two-hybrid	physical	Reuter TY (2003)	PUBMED:14499622	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00597	A0A024R9N2|A0A087WW44|B4E3W2	NP_000127|NP_001230672|NP_001230673	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251101	64754	3320	122268	109552	RP11-49H10.1	-	SMYD3	HSP90AA1	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Hamamoto R (2004)	PUBMED:15235609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9H7B4	-	NP_001161212|NP_001362891|NP_001362892|NP_073580	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251103	3320	64754	109552	122268	-	RP11-49H10.1	HSP90AA1	SMYD3	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	Affinity Capture-Western	physical	Hamamoto R (2004)	PUBMED:15235609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q9H7B4	-	NP_001161212|NP_001362891|NP_001362892|NP_073580	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252514	3320	11140	109552	116312	-	-	HSP90AA1	CDC37	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	P50CDC37	Co-crystal Structure	physical	Roe SM (2004)	PUBMED:14718169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q16543	A0A024R7B7	NP_008996	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252666	90627	3320	124744	109552	RP11-81F11.1	-	STARD13	HSP90AA1	ARHGAP37|DLC2|GT650|LINC00464	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Two-hybrid	physical	Nagaraja GM (2004)	PUBMED:14697242	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3M8	B2R789|B3KRK6|A0A024RDV4	NP_821074|NP_821075|NP_443083|NP_001230405|NP_001230403|NP_001230395	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
253444	9530	3320	114906	109552	-	-	BAG4	HSP90AA1	BAG-4|SODD	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Lau PP (2003)	PUBMED:14559896	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O95429	-	NP_001191807|NP_004865	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
255550	63922	3320	121991	109552	LA16c-321D2.4	-	CHTF18	HSP90AA1	C16orf41|C321D2.2|C321D2.3|C321D2.4|CHL12|Ctf18|RUVBL	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Bermudez VP (2003)	PUBMED:12930902	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8WVB6	-	NP_071375	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259381	3320	4846	109552	110909	-	-	HSP90AA1	NOS3	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	ECNOS|eNOS	Affinity Capture-Western	physical	Venema RC (2003)	PUBMED:12676772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P29474	A0S0A6|E7ESA7	NP_001153581|NP_000594|NP_001153583|NP_001153582	-	-	-	-	-	-	Homo sapiens	Homo sapiens
