#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2368	672	466	107140	106956	-	-	BRCA1	ATF1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	EWS-ATF1|FUS/ATF-1|TREB36	Two-hybrid	physical	Houvras Y (2000)	PUBMED:10945975	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P18846	-	NP_005162	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2398	672	4436	107140	110573	-	-	BRCA1	MSH2	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	Two-hybrid	physical	Wang Q (2001)	PUBMED:11498787	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P43246	E9PHA6	NP_000242|NP_001245210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2411	672	580	107140	107056	-	-	BRCA1	BARD1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	-	Two-hybrid	physical	Wu LC (1996)	PUBMED:8944023	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2424	672	2956	107140	109211	-	-	BRCA1	MSH6	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	GTBP|GTMBP|HNPCC5|HSAP|p160	Two-hybrid	physical	Wang Q (2001)	PUBMED:11498787	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P52701	Q3SWU9	NP_000170|NP_001268421|NP_001268422|NP_001268423	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243655	83990	672	123841	107140	-	-	BRIP1	BRCA1	BACH1|FANCJ|OF	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	Affinity Capture-Western	physical	Botuyan MV (2004)	PUBMED:15242590	9606	9606	Low Throughput	-	-	A phenylalanine in the +3 position from the phosphoserine of BACH1 is bound to a conserved hydrophobic pocket formed between the two BRCT domains and that recognition of the phosphate group is mediated by lysine and serine side chains from the amino-termi	-	BIOGRID	Q9BX63	A0A024QZ45	NP_114432	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243656	672	83990	107140	123841	-	-	BRCA1	BRIP1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BACH1|FANCJ|OF	Protein-peptide	physical	Botuyan MV (2004)	PUBMED:15242590	9606	9606	Low Throughput	-	-	A phenylalanine in the +3 position from the phosphoserine of BACH1 is bound to a conserved hydrophobic pocket formed between the two BRCT domains and that recognition of the phosphate group is mediated by lysine and serine side chains from the amino-termi	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q9BX63	A0A024QZ45	NP_114432	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243657	672	83990	107140	123841	-	-	BRCA1	BRIP1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BACH1|FANCJ|OF	Affinity Capture-Western	physical	Botuyan MV (2004)	PUBMED:15242590	9606	9606	Low Throughput	-	-	A phenylalanine in the +3 position from the phosphoserine of BACH1 is bound to a conserved hydrophobic pocket formed between the two BRCT domains and that recognition of the phosphate group is mediated by lysine and serine side chains from the amino-termi	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q9BX63	A0A024QZ45	NP_114432	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243662	672	580	107140	107056	-	-	BRCA1	BARD1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	-	Two-hybrid	physical	Wang Q (2001)	PUBMED:11498787	9606	9606	Low Throughput	-	-	aa 1-303 bait	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243663	672	580	107140	107056	-	-	BRCA1	BARD1	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	-	Reconstituted Complex	physical	Wang Q (2001)	PUBMED:11498787	9606	9606	Low Throughput	-	-	aa 1-303 bait	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243664	672	4436	107140	110573	-	-	BRCA1	MSH2	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	Reconstituted Complex	physical	Wang Q (2001)	PUBMED:11498787	9606	9606	Low Throughput	-	-	aa 1-303 bait;three non-overlapping fragments, BRCA1(1-175), BRCA1(303-625), and BRCA1(773-1863), appear to interact with hMSH2;the three regions of BRCA1 interact with hMSH2 amino acid residues 609-888;ADP-bound form of hMSH2-hMSH6 is incapable of bindin	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P43246	E9PHA6	NP_000242|NP_001245210	-	-	-	-	-	-	Homo sapiens	Homo sapiens
